ts_code,hold_ratio,top_10_d_r
000968.SZ,75.69999999999997,75.69999999999997
000969.SZ,46.9,46.9
000970.SZ,38.74,38.74
000971.SZ,43.02,43.02
000972.SZ,47.49,47.49
000973.SZ,31.58,31.58
000975.SZ,60.13999999999999,60.13999999999999
000976.SZ,41.15,41.15
000977.SZ,41.33,41.33
000978.SZ,40.54,40.54
000980.SZ,62.94000000000001,62.94000000000001
000981.SZ,79.83,79.83
000982.SZ,54.58,54.58
000983.SZ,63.64,63.64
000985.SZ,67.94999999999999,67.94999999999999
000987.SZ,82.57,82.57
000988.SZ,35.59,35.59
000989.SZ,65.13000000000001,65.13000000000001
000990.SZ,76.9408,76.9408
000993.SZ,64.24000000000001,64.24000000000001
000996.SZ,22.920000000000005,22.920000000000005
000997.SZ,40.48,40.48
000998.SZ,39.28,39.28
000999.SZ,78.74000000000002,78.74000000000002
001696.SZ,45.72,45.72
001872.SZ,149.72000000000003,149.72000000000003
001896.SZ,64.2,64.2
001914.SZ,71.74000000000002,71.74000000000002
001965.SZ,94.92000000000002,94.92000000000002
001979.SZ,82.35999999999997,82.35999999999997
002001.SZ,57.58,57.58
002002.SZ,37.1595,37.1595
002003.SZ,51.71,51.71
002004.SZ,42.48,42.48
002005.SZ,45.38,45.38
002006.SZ,44.38,44.38
002007.SZ,58.59,58.59
002008.SZ,49.23999999999999,49.23999999999999
002009.SZ,37.42,37.42
002010.SZ,75.70000000000002,75.70000000000002
002011.SZ,47.61,47.61
002012.SZ,24.36,24.36
002013.SZ,61.55999999999999,61.55999999999999
002014.SZ,69.41,69.41
002015.SZ,79.57000000000002,79.57000000000002
002016.SZ,78.69,78.69
002017.SZ,48.11,48.11
002019.SZ,50.22,50.22
002020.SZ,43.17,43.17
002021.SZ,46.68,46.68
002022.SZ,18.62,18.62
002023.SZ,29.65,29.65
002024.SZ,73.22000000000001,73.22000000000001
002025.SZ,55.72,55.72
002026.SZ,48.64,48.64
002027.SZ,45.25,45.25
002028.SZ,47.13999999999999,47.13999999999999
002029.SZ,55.25000000000001,55.25000000000001
002030.SZ,42.27,42.27
002031.SZ,31.76,31.76
002032.SZ,94.02,94.02
002033.SZ,52.96000000000001,52.96000000000001
002034.SZ,68.48000000000002,68.48000000000002
002035.SZ,41.76,41.76
002036.SZ,18.89,18.89
002037.SZ,58.88,58.88
002038.SZ,48.97999999999999,48.97999999999999
002039.SZ,49.53,49.53
002040.SZ,70.38999999999999,70.38999999999999
002041.SZ,68.0,68.0
002042.SZ,68.26,68.26
002043.SZ,53.41,53.41
002044.SZ,24.6838,24.6838
002045.SZ,40.51,40.51
002046.SZ,63.49,63.49
002047.SZ,37.73,37.73
002048.SZ,41.07,41.07
002049.SZ,32.39,32.39
002050.SZ,62.87,62.87
002051.SZ,67.33999999999999,67.33999999999999
002052.SZ,37.8,37.8
002053.SZ,82.59,82.59
002054.SZ,56.17,56.17
002055.SZ,41.52,41.52
002056.SZ,63.37,63.37
002057.SZ,44.51,44.51
002058.SZ,54.52,54.52
002059.SZ,74.96000000000002,74.96000000000002
002060.SZ,39.66,39.66
002061.SZ,73.46000000000002,73.46000000000002
002062.SZ,59.53,59.53
002063.SZ,35.32,35.32
002064.SZ,77.91,77.91
002065.SZ,48.45,48.45
002066.SZ,50.61,50.61
002067.SZ,21.28,21.28
002068.SZ,59.76,59.76
002069.SZ,59.64999999999999,59.64999999999999
002071.SZ,40.02,40.02
002072.SZ,28.53,28.53
002073.SZ,32.4,32.4
002074.SZ,38.91,38.91
002075.SZ,48.11,48.11
002076.SZ,38.09,38.09
002077.SZ,61.92,61.92
002078.SZ,58.15,58.15
002079.SZ,41.11,41.11
002080.SZ,68.98,68.98
002081.SZ,61.51,61.51
002082.SZ,63.92000000000001,63.92000000000001
002083.SZ,40.73,40.73
002084.SZ,53.19000000000001,53.19000000000001
002085.SZ,61.37000000000001,61.37000000000001
002086.SZ,48.37000000000001,48.37000000000001
002087.SZ,33.57,33.57
002088.SZ,53.51,53.51
002089.SZ,40.95,40.95
002090.SZ,45.51,45.51
002091.SZ,57.040000000000006,57.040000000000006
002092.SZ,43.4,43.4
002093.SZ,59.86,59.86
002094.SZ,44.41,44.41
002095.SZ,55.10000000000001,55.10000000000001
002096.SZ,70.45,70.45
002097.SZ,47.27,47.27
002098.SZ,65.64,65.64
002099.SZ,49.66,49.66
002100.SZ,52.19,52.19
002101.SZ,62.4,62.4
002102.SZ,45.24999999999999,45.24999999999999
002103.SZ,54.0,54.0
002104.SZ,26.520000000000003,26.520000000000003
002105.SZ,48.07,48.07
002106.SZ,36.72,36.72
002107.SZ,56.67,56.67
002108.SZ,40.41000000000001,40.41000000000001
002109.SZ,71.63,71.63
002110.SZ,64.05,64.05
002111.SZ,51.25,51.25
002112.SZ,44.79,44.79
002113.SZ,52.12000000000001,52.12000000000001
002114.SZ,38.2,38.2
002115.SZ,37.9,37.9
002116.SZ,68.66999999999999,68.66999999999999
002117.SZ,39.29,39.29
002118.SZ,49.88999999999999,49.88999999999999
002119.SZ,42.85000000000001,42.85000000000001
002120.SZ,72.06,72.06
002121.SZ,56.19,56.19
002122.SZ,39.94,39.94
002123.SZ,38.58,38.58
002124.SZ,43.10999999999999,43.10999999999999
002125.SZ,50.03999999999999,50.03999999999999
002126.SZ,36.28,36.28
002127.SZ,45.92,45.92
002128.SZ,72.57000000000002,72.57000000000002
002129.SZ,46.21,46.21
002130.SZ,27.53,27.53
002131.SZ,25.79,25.79
002132.SZ,46.05,46.05
002133.SZ,37.7,37.7
002134.SZ,42.83,42.83
002135.SZ,54.89,54.89
002136.SZ,44.66,44.66
002137.SZ,49.13,49.13
002138.SZ,33.77,33.77
002139.SZ,33.07,33.07
002140.SZ,65.13999999999999,65.13999999999999
002141.SZ,59.62000000000001,59.62000000000001
002142.SZ,46.16,46.16
002144.SZ,37.58000000000001,37.58000000000001
002145.SZ,60.00999999999999,60.00999999999999
002146.SZ,62.33,62.33
002147.SZ,80.44999999999997,80.44999999999997
002148.SZ,31.96,31.96
002149.SZ,47.24999999999999,47.24999999999999
002150.SZ,62.75,62.75
002151.SZ,36.69,36.69
002152.SZ,60.10000000000001,60.10000000000001
002153.SZ,84.24,84.24
002154.SZ,34.29,34.29
002155.SZ,50.37000000000001,50.37000000000001
002156.SZ,58.24,58.24
002157.SZ,52.48,52.48
002158.SZ,66.17,66.17
002159.SZ,47.62000000000001,47.62000000000001
002160.SZ,41.94,41.94
002161.SZ,32.12,32.12
002162.SZ,59.29,59.29
002163.SZ,37.12000000000001,37.12000000000001
002164.SZ,51.59,51.59
002165.SZ,40.94,40.94
002166.SZ,46.88,46.88
002167.SZ,35.62,35.62
002168.SZ,31.79,31.79
002169.SZ,30.420000000000005,30.420000000000005
002170.SZ,42.85,42.85
002171.SZ,53.13,53.13
002172.SZ,43.26,43.26
002173.SZ,59.5,59.5
002174.SZ,42.66,42.66
002175.SZ,30.91,30.91
002176.SZ,33.4,33.4
002177.SZ,23.350000000000005,23.350000000000005
002178.SZ,42.23,42.23
002179.SZ,62.54,62.54
002180.SZ,62.79,62.79
002181.SZ,70.81,70.81
002182.SZ,46.99,46.99
002183.SZ,43.31,43.31
002184.SZ,53.71999999999999,53.71999999999999
002185.SZ,35.22,35.22
002186.SZ,52.15,52.15
002187.SZ,66.42,66.42
002188.SZ,44.41,44.41
002189.SZ,54.03,54.03
002190.SZ,57.61,57.61
002191.SZ,49.71999999999999,49.71999999999999
002192.SZ,34.08,34.08
002193.SZ,62.09,62.09
002194.SZ,63.13,63.13
002195.SZ,12.57,12.57
002196.SZ,24.52,24.52
002197.SZ,33.66,33.66
002198.SZ,33.87,33.87
002199.SZ,48.93000000000001,48.93000000000001
002200.SZ,54.17,54.17
002201.SZ,52.06,52.06
002202.SZ,81.50999999999998,81.50999999999998
002203.SZ,70.44,70.44
002204.SZ,67.26,67.26
002205.SZ,42.91,42.91
002206.SZ,50.12000000000001,50.12000000000001
002207.SZ,45.57,45.57
002208.SZ,70.45,70.45
002209.SZ,51.36,51.36
002210.SZ,70.2,70.2
002211.SZ,46.40000000000001,46.40000000000001
002212.SZ,45.06,45.06
002213.SZ,41.1,41.1
002214.SZ,37.68,37.68
002215.SZ,46.04,46.04
002216.SZ,69.61,69.61
002217.SZ,46.58,46.58
002218.SZ,49.16999999999999,49.16999999999999
002219.SZ,62.81,62.81
002221.SZ,42.85,42.85
002222.SZ,30.820000000000004,30.820000000000004
002223.SZ,51.9,51.9
002224.SZ,39.39999999999999,39.39999999999999
002225.SZ,47.48,47.48
002226.SZ,62.61000000000001,62.61000000000001
002227.SZ,66.6,66.6
002228.SZ,50.37,50.37
002229.SZ,36.23,36.23
002230.SZ,32.58,32.58
002231.SZ,45.73,45.73
002232.SZ,59.92,59.92
002233.SZ,51.76000000000001,51.76000000000001
002234.SZ,47.14,47.14
002235.SZ,30.15,30.15
002236.SZ,57.77000000000001,57.77000000000001
002237.SZ,49.06,49.06
002238.SZ,75.75,75.75
002239.SZ,37.85,37.85
002240.SZ,45.09,45.09
002241.SZ,46.54999999999999,46.54999999999999
002242.SZ,82.5,82.5
002243.SZ,81.89,81.89
002244.SZ,74.02000000000002,74.02000000000002
002245.SZ,41.51,41.51
002246.SZ,61.31,61.31
002247.SZ,46.86,46.86
002248.SZ,31.34,31.34
002249.SZ,49.25,49.25
002250.SZ,44.28,44.28
002251.SZ,68.30000000000001,68.30000000000001
002252.SZ,62.36,62.36
002253.SZ,35.31,35.31
002254.SZ,36.03,36.03
002255.SZ,43.53,43.53
002256.SZ,49.73,49.73
002258.SZ,66.07,66.07
002259.SZ,39.95,39.95
002261.SZ,35.23,35.23
002262.SZ,57.52,57.52
002263.SZ,32.300000000000004,32.300000000000004
002264.SZ,63.86,63.86
002265.SZ,66.03999999999999,66.03999999999999
002266.SZ,73.62,73.62
