ts_code,hold_ratio,top10_d_r
000777.SZ,34.51,34.51
000778.SZ,48.87999999999999,48.87999999999999
000779.SZ,73.65,73.65
000780.SZ,65.01,65.01
000782.SZ,39.39000000000001,39.39000000000001
000783.SZ,55.269999999999996,55.269999999999996
000785.SZ,92.58,92.58
000786.SZ,63.94,63.94
000788.SZ,46.70999999999999,46.70999999999999
000789.SZ,53.36000000000001,53.36000000000001
000790.SZ,23.08,23.08
000791.SZ,65.18,65.18
000793.SZ,33.88999999999999,33.88999999999999
000795.SZ,52.510000000000005,52.510000000000005
000796.SZ,50.03,50.03
000797.SZ,61.959999999999994,61.959999999999994
000798.SZ,67.00000000000001,67.00000000000001
000799.SZ,40.629999999999995,40.629999999999995
000800.SZ,87.49,87.49
000801.SZ,56.07999999999999,56.07999999999999
000802.SZ,39.309999999999995,39.309999999999995
000803.SZ,58.82,58.82
000806.SZ,48.760000000000005,48.760000000000005
000807.SZ,55.16,55.16
000809.SZ,43.809999999999995,43.809999999999995
000810.SZ,69.56,69.56
000811.SZ,50.82,50.82
000812.SZ,37.849999999999994,37.849999999999994
000813.SZ,65.7,65.7
000815.SZ,55.76,55.76
000816.SZ,29.869999999999997,29.869999999999997
000818.SZ,35.629999999999995,35.629999999999995
000819.SZ,40.79,40.79
000820.SZ,60.93,60.93
000821.SZ,39.47,39.47
000822.SZ,46.63,46.63
000823.SZ,36.59,36.59
000825.SZ,69.11999999999999,69.11999999999999
000826.SZ,51.519999999999996,51.519999999999996
000828.SZ,71.60000000000001,71.60000000000001
000829.SZ,51.97,51.97
000830.SZ,42.78999999999999,42.78999999999999
000831.SZ,47.089999999999996,47.089999999999996
000833.SZ,59.07,59.07
000835.SZ,36.38,36.38
000836.SZ,26.35,26.35
000837.SZ,42.330000000000005,42.330000000000005
000838.SZ,63.34,63.34
000839.SZ,40.02,40.02
000848.SZ,56.739999999999995,56.739999999999995
000850.SZ,50.42,50.42
000851.SZ,19.55,19.55
000852.SZ,64.61,64.61
000856.SZ,34.13,34.13
000858.SZ,67.27,67.27
000859.SZ,32.01,32.01
000860.SZ,55.760000000000005,55.760000000000005
000861.SZ,51.66000000000001,51.66000000000001
000862.SZ,43.480000000000004,43.480000000000004
000863.SZ,62.19,62.19
000868.SZ,45.269999999999996,45.269999999999996
000869.SZ,62.559999999999995,62.559999999999995
000875.SZ,33.71999999999999,33.71999999999999
000876.SZ,54.6,54.6
000877.SZ,55.3,55.3
000878.SZ,54.00999999999999,54.00999999999999
000880.SZ,63.519999999999996,63.519999999999996
000881.SZ,60.47,60.47
000882.SZ,34.71,34.71
000883.SZ,84.33000000000001,84.33000000000001
000885.SZ,70.89999999999999,70.89999999999999
000886.SZ,32.089999999999996,32.089999999999996
000887.SZ,50.62,50.62
000888.SZ,45.04,45.04
000889.SZ,53.809,53.809
000890.SZ,42.9,42.9
000892.SZ,45.8,45.8
000893.SZ,68.33000000000001,68.33000000000001
000895.SZ,70.33,70.33
000897.SZ,34.52000000000001,34.52000000000001
000898.SZ,84.59,84.59
000899.SZ,75.48,75.48
